Sentence,Score
"Views of
different High Courts on the issue .......................................... 55 c. Section 5 of the
Societies Registration Act, 1860 and the ‘vesting’ of properties in the Executive
Committee.",tensor(0.5652)
"................................................. 82 d. The doctrine of constructive trust
and its applicability to a society functioning for public purposes of a religious or
charitable nature ..... 99 B.",tensor(0.4746)
"A breach of trust or the directions of the court being
n e c e s s a r y  f o r  t h e  a d m i n i s t r a t i o n  o f  t h e
trust.............................................................................. 129 C. The institution of the suit
must be made by two or more persons “having an interest in the trust”
....................................................................................... 136 D. The reliefs falling within
the scope of those enumerated under Section 92(1) of the CPC along with the object,
p u r p o s e  a n d  c a p a c i t y  i n  w h i c h  t h e  s u i t  i s  b r o u g h t .",tensor(0.5242)
".......................................................................................................... 140 F.
CONCLUSION ................................................................................................... 157
1.",tensor(0.7162)
Leave granted.,tensor(0.7010)
2.,tensor(0.6659)
"This appeal arises from the judgment and order passed by the High Court of Delhi
dated 21.08.2024 in FAO(OS) No.",tensor(0.4984)
"114 of 2024 (hereinafter, the “impugned
decision”), by which the High Court dismissed the appeal filed by the appellant
herein against the judgment and order dated 03.05.2024 passed by a learned Single
Judge of the High Court in CS(OS) No.",tensor(0.3754)
"153 of 2020 allowing the application under
Section 92 of the Code of Civil Procedure, 1908 (hereinafter, the “CPC”) filed by the
respondent nos.",tensor(0.5551)
"1 and 2 respectively, seeking leave to institute the subject suit.",tensor(0.6092)
A.,tensor(0.5597)
"FACTUAL MATRIX
3.",tensor(0.6144)
"Operation ASHA (hereinafter, the “appellant Society/original defendant no.",tensor(0.6635)
"1”) is a
not-for-profit society founded in the year 2005 and registered under the Societies
Registration Act, 1860 with its registered office in New Delhi.",tensor(0.5479)
"The appellant Society is
engaged in providing health services through a plethora of activities primarily to the
underprivileged sections of the society across India with special emphasis on the
treatment, education and prevention of tuberculosis and other diseases.",tensor(0.4830)
"The same
can be inferred from the Memorandum of Association (hereinafter, the “MoA”) of the
appellant Society.",tensor(0.3907)
"The aims and objectives of the appellant Society are as follows:
“4.",tensor(0.1778)
"AIMS AND OBJECTS MAIN OBJECTIVES OF THE SOCIETY ARE GIVEN
BELOW.",tensor(0.3437)
"4.1.1 To develop, establish, maintain and provide health and all other related services,
and to help, aid, assist, arrange, co-
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
2
 ordinate, organize maintain and carry on activities connected with one of health quality of life,
nursing facilities, socio-economic aspects, general welfare and problems of the society with special
emphasis on provision of services for the underprivileged sections of the society as per Govt.",tensor(0.6459)
rule.,tensor(0.7441)
"4.1.2 To develop, establish, make and provide microcredit microfinance and all other related
services, and to help, aid, assist, arrange, contribute, co-ordinate, organize maintain and carry on
activities connected with concerns of microcredit and micro finance.",tensor(0.6552)
"Socio-economic aspects,
general welfare and problems of the society with special emphasis on provision of services for the
underprivileged sections of the society as per Govt.",tensor(0.6494)
rule.,tensor(0.7724)
"4.1.3 To establish hospitals, medical schools and colleges, nursing schools and colleges,
dispensaries, laboratories research institutions and other educational institutions as per Govt.",tensor(0.7333)
rule.,tensor(0.7122)
"4.1.4 To purchase or otherwise deal in medicines and equipment required for maintenance of health,
hygiene and microcredit/ microfinance.",tensor(0.4897)
"4.1.5 To aid, promote establish, maintain, run and encourage alternative systems of medicine and
establish training and research centers for this purpose as Govt, rule.",tensor(0.2383)
"4.1.6 To aid, promote, establish, maintain, run and encourage microcredit/microfinance as per
Govt.",tensor(0.4120)
rule.,tensor(0.7203)
"4.1.7 To open centers and institutes for diagnostic, curative, therapeutic and research of medical
sciences as per Govt.",tensor(0.6225)
"rule, 4.1.8 To provide free medicines to the poor.”
4.",tensor(0.5680)
"The MoA of the appellant Society also stipulates that all the incomes and earnings of the society,
whether movable or immovable, shall solely be utilised to further the aims and objectives of the
appellant Society.",tensor(0.4557)
"Furthermore, it is also stated that the members of the appellant society would not
be entitled to any profits by virtue of their membership.",tensor(0.3593)
"The relevant portion of the MoA is extracted
hereinbelow:
“All the incomes, earnings, movable or immovable properties of the society shall be
solely utilized and applied towards the promotion of its aims and objectives only as
set forth in the memorandum of association and no profits thereof shall be paid or
transferred directly or indirectly by way of dividends, bonus, profits or in any manner
whatsoever to the present or past members or to any person claiming through any
one or more of the present or the past members, no member of the society shall have
any profits, whatsoever by virtue of his membership, the names, addresses,
occupations and signatures of the present members of the executive committee το
whom the management and affairs of the society are entrusted as required under
section 2 of the societies registration act, 1860 (punjab amendment act of 1957) as
extended and applicable to the national capital territory & all state of india.”
(Emphasis supplied)
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
3
 5..",tensor(0.5192)
"A few other relevant clauses from the Articles of Association (hereinafter, the “AoA”) of the
appellant Society are reproduced hereinbelow:
“6.",tensor(0.5543)
"DUTIES & OBLIGATIONS OF MEMBERS All and every member
6.1 Shall attend the Board of meetings regularly;
6.2 Shall give necessary information to the Society, pertaining to matters necessary to be known by
the Society;
6.3 Shall not indulge in activities, which may prove prejudicial to the Aims and Objects of the
Society and/or to the Rules and Regulations of the Society;
6.4 Shall maintain sanctity of the secrets and confidentiality of police matters of the Society and its
members;
-xxx-
11.2 POWERS & DUTIES OF THE EXECUTIVE COMMITTEE 11.2.1 All the properties, movable,
immovable, and other kind of assets shall stand vested in the Committee.",tensor(0.4589)
"11.2.2 The business and the affairs of the Society shall be managed and administered by the
Committee.",tensor(0.3292)
"11.2.3 Without prejudice to the generality of the foregoing provisions, the Committee shall have the
following powers.",tensor(0.4146)
"11.2.3.1 To acquire by gift, purchase, exchange, lease or in any other manner land,
building, or other immovable, property together with all rights pertaining thereto.",tensor(0.4514)
11.2.3.2 To manage the properties of the Society.,tensor(0.2862)
"11.2.3.3 To accept the management of any trust, fund, or endowment or any other … in which the
Society is interested.",tensor(0.2614)
"11.2.3.4 To raise funds for the Society by way of gifts, donations, grants-in-aid
or otherwise within India or outside, as provided in the bye-laws.",tensor(0.3023)
"11.2.3.5 To raise loans, stand guarantee for loans and do all acts necessary to raising the loans to
further the objects of the Society.",tensor(0.2726)
"11.2.3.6 To receive monies, securities, instruments, investments,
or any other assets for and on behalf of the Society.",tensor(0.2068)
11.2.3.7 To enter into agreements contracts for and on behalf of the Society.,tensor(0.2587)
"11.2.3.8 To manage, serve, transfer or otherwise dispose-off any property, movable or immovable of
the Society.",tensor(0.3353)
"11.2.3.9 To prescribe the powers, duties and functions of the office-bearers.",tensor(0.4953)
"Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
4
 11.2.3.10 To exercise control over the President and the General secretary of the Society including
the powers of dismissal.",tensor(0.6559)
11.2.3.11 To appoint the Secretary of the Society.,tensor(0.4515)
11.2.3.12 To elect new members to the Committee when casual vacancies occur.,tensor(0.2999)
11.2.3.13 To appoint the Secretary of the society.,tensor(0.4037)
"-xxx-
13.",tensor(0.6555)
"SOURCES OF INCOME & UTILIAZATION OF FUNDS Funds will be raised by way of
grants-in-aid, donations, gifts, subscriptions fees, and income from investments, loans and other
means available to the Society under the Act.",tensor(0.4821)
"Funds will be used to carry out the Aims and
Objectives of the Society.”
6.",tensor(0.5618)
"Dr. Shelly Batra (hereinafter, the “respondent no.",tensor(0.7399)
1/original plaintiff no.,tensor(0.5461)
"1”) is a medical health
professional and co-founder of the appellant Society.",tensor(0.5729)
"Vide communication dated 19.06.2020, Mr.
Sandeep Ahuja (hereinafter, the “respondent no.",tensor(0.5894)
3/original defendant no.,tensor(0.5444)
"2”) who is also the
co-founder and CEO of the appellant Society terminated the services/employment of the respondent
no.",tensor(0.5703)
1.,tensor(0.7679)
The communication alleged that the termination of the respondent no.,tensor(0.7914)
"1 was on account of
various “omissions including misrepresentation” of her daughter’s previous employment,
fabrication of documents, misappropriation of the assets and funds of the NGO as well as gross
misbehaviour with the staff and the employees.",tensor(0.6873)
"Subsequently, on 23.06.2020, the Board of the
appellant Society is said to have passed a resolution terminating the respondent no.",tensor(0.4713)
"1 from the
post/office of President of the appellant Society.",tensor(0.2911)
"Soon thereafter, on 27.06.2020, the Board of the
appellant Society is also said to have removed the respondent no.",tensor(0.4399)
"1 from her capacity as a member of
their Board.",tensor(0.6188)
7.,tensor(0.7153)
"Mrs. Usha Gupta, (hereinafter, the “Respondent No.",tensor(0.6306)
2/original plaintiff no.,tensor(0.4114)
"2”), who is the mother
of the respondent no.",tensor(0.4162)
"1, is one of the current members of the Board of the appellant Society.",tensor(0.5429)
Immediately after the removal of the respondent no.,tensor(0.4648)
"1 as a Board member, both the respondent no.",tensor(0.2304)
1 and respondent no.,tensor(0.3466)
"2 (collectively also referred to as the “original plaintiffs”) instituted an Original
Suit bearing CS (OS) No.",tensor(0.6291)
"153 of 2020 on 28.06.2020 under Section 92 of the CPC before a learned
Single Judge of the High Court for declaration, permanent & prohibitory injunction and, rendition
of accounts.",tensor(0.6806)
"They alleged misconduct and breach of several of the society’s by-laws by the
respondent no.3 and one Ms. Suniti Ahuja (hereinafter, the “respondent no.",tensor(0.6214)
"4/original defendant
no.",tensor(0.5855)
3”).,tensor(0.6547)
The original defendant nos.,tensor(0.5292)
"4 to 8 respectively are current Board members and the original
defendant no.",tensor(0.3120)
9 is a former Board member of the appellant Society.,tensor(0.4165)
8.,tensor(0.6401)
"To further elaborate in detail, the respondent nos.",tensor(0.6368)
"1 and 2 respectively (original plaintiffs) alleged
the following in the suit instituted by them:
i.",tensor(0.6050)
That the respondent nos.,tensor(0.7191)
"3 and 4 respectively, were indulging in gross financial
impropriety, misconduct and siphoning off funds/donations which were received by
the appellant Society into various shell companies/entities controlled by them and
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
5
 their friends/relatives.",tensor(0.6461)
"Such funds were utilised and misappropriated for personal
gains.",tensor(0.4713)
"Furthermore, that the funds received by the society have been utilised for
activities outside India, which is impermissible, since the requisite permission was
not taken from the appropriate governmental authorities and yet, tax benefits were
illegally availed for the same.",tensor(0.6436)
ii.,tensor(0.8713)
"That there has been a severe mismanagement in the administration of the
appellant Society by the respondent nos.",tensor(0.8875)
3 and 4 respectively.,tensor(0.8562)
"They have avoided
making accounting provisions for statutory disbursements in the form of provident
fund or gratuity to their employees and are also engaging in cross-
payment of salaries to employees through their sister concerns with a view to avoid
the grant of statutorily mandated employee benefits.",tensor(0.8388)
iii.,tensor(0.8119)
That the respondent no.,tensor(0.7970)
"3 has misrepresented information and thereby misled the
donors of the appellant Society with an intent to defraud them by claiming that the
appellant society had provided COVID-19 related services to more than 12,600
families and 10,000 migrants, however, the same remains entirely uncorroborated
and unsubstantiated.",tensor(0.8139)
iv.,tensor(0.6762)
That the respondent nos.,tensor(0.6666)
"3 and 4 respectively, used force and coerced several
employees in order to illegally take away the property of the appellant Society.",tensor(0.6804)
This includes pressurizing the original defendant no.,tensor(0.6416)
"8 to hand over the ATM card,
passbook etc.",tensor(0.6293)
"of the account in which his salary is remitted and utilising those funds
for personal needs.",tensor(0.6562)
"Furthermore, it was alleged that they have also demanded
compulsory kickbacks from the employees engaged by the appellant Society by
threatening, coercing and blackmailing them with immediate termination of
employment, with a view to siphon employee payments.",tensor(0.8110)
v. That respondent no.,tensor(0.8472)
"3 has also regularly misbehaved by issuing threats of personal
injury and also indulged in discriminatory behaviour against the employees of the
appellant society on the basis of race, caste, religion and sex.",tensor(0.8293)
vi.,tensor(0.8509)
"That, around February 2020, the respondent no.",tensor(0.6827)
"1 approached the respondent
nos.",tensor(0.5567)
"3 and 4 respectively to resolve the aforesaid issues, amongst others.",tensor(0.7705)
"In
retaliation, she was harassed and threatened to exit from her position at the appellant
Society.",tensor(0.9690)
9.,tensor(0.9330)
"The reliefs prayed for in the aforesaid suit are reproduced hereinbelow:
“PRAYER
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
6
 35.",tensor(0.6309)
"In light of the above facts and circumstances of the case, Plaintiffs most humbly
pray that this Hon’ble Court may grant the following reliefs in its favour:
(a) Pass a decree of declaration holding that all the decisions taken by the Board of
Defendant No.1 and/or any Board member or employee or personnel w.e.f.",tensor(0.4418)
"01-06-2020 onwards are illegal, wrong and void, in the present facts and
circumstances, and therefore, set-aside; and/or
(b) Pass a decree of declaration holding that the termination of Dr.Shelly Batra
(Plaintiff No.",tensor(0.3977)
"1) from the post/office of President vide Board Resolution dated
23-06-2020 and ouster from the Board of Defendant No.",tensor(0.1784)
"I vide Board Resolution
dated 27-06-2020 is illegal, wrong and void in the present facts and circumstances,
and restoring her office/post in the affairs of Defendant No.",tensor(0.1785)
"1;
and/or
c) Pass a decree for permanent & prohibitory injunction against the Defendant Nos.2 and 3 by
removing them from the Board of Defendant No.1 on account of the illegalities & breach of the bye-
laws of Defendant No.1, and restraining them from being involved in the activities/affairs of the
Board of Defendant No.1 either as member or employee or contractor or advisor or anyway
whatsoever;
(d) Pass a decree for rendition of accounts of profits/monies siphoned, misappropriated, illegally
earned by Defendant Nos.2- 3 for their personal use/benefit from the accounts/funds of Defendant
No.1, and further a decree for recovery of the amount be found to be due, siphoned,
misappropriated, etc.",tensor(0.3578)
by the Defendant Nos.,tensor(0.3757)
"2-3 along with interest @18% in favour of Defendant
No.",tensor(0.4133)
1; and/or I Pass a decree or order regarding settling the scheme of the Defendant No.,tensor(0.4878)
"1 by
amending its bye-laws in such manner that no one family gets complete control of the affairs of
Defendant No.",tensor(0.6152)
"1:
(f) Costs:
(g) Any other relief (s) which this Hon’ble Court deems, fit, just and proper may also
be awarded in favour of the Plaintiffs, in the interest of justice.”
10.",tensor(0.6520)
"In pursuance of the aforesaid, the respondent nos.",tensor(0.5432)
"1 and 2 respectively, filed an
application being I.A.",tensor(0.6507)
No.,tensor(0.7247)
5009 of 2020 in CS (OS) No.,tensor(0.6366)
"153 of 2020 seeking leave to
institute the civil suit against the appellant Society along with the respondent nos.",tensor(0.6257)
"3 to 10 (collectively referred to as the “original defendants”) before the learned Single Judge of the
High Court.",tensor(0.6679)
"In the said application, it was stated that the appellant Society is a public charitable
institution - an NGO engaged in the healthcare industry.",tensor(0.5174)
"The main objectives of the society as
evidenced by its by-laws is public welfare and therefore, it would fall under the ambit of “public
charities” mentioned under Section 92 of the CPC.",tensor(0.5839)
The respondent nos.,tensor(0.7709)
"1 and 2 respectively
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
7
 (original plaintiffs) have been involved in the functioning of the appellant Society since its inception
and have a justified and bona fide interest in the society, Therefore, they are “interested persons” as
required by Section 92.",tensor(0.7354)
"Furthermore, since numerous breaches have occurred in the conduct of
business/affairs of the appellant Society, the direction of the court would be of utmost necessity for
its administration.",tensor(0.8316)
11.,tensor(0.8466)
"After taking seisin of the matter, vide order dated 05.08.2020, the learned Single Judge of the
High Court appointed Justice (retd.)",tensor(0.7552)
R.V.,tensor(0.7353)
"Easwar as the Chairperson of the Board of the appellant
Society with the consent of both the parties.",tensor(0.6160)
"Directions were issued to the Chairperson to submit a
report and conduct a financial audit in order to ascertain, amongst others, whether there has been a
defalcation or siphoning off of funds that the donors have contributed towards the appellant Society
and to make suggestions as to how the working of the society can be improved.",tensor(0.4463)
"The Chairperson
submitted three reports dated 26.08.2020, 03.10.2020 and 09.12.2020 respectively.",tensor(0.3446)
"On,
13.08.2021, an Interim Forensic Audit Report and on 20.09.2021, a Final Forensic Audit Report
respectively, are also said to have been submitted by the auditors appointed for the said purpose.",tensor(0.5212)
12.,tensor(0.8422)
"The learned Single Judge of the High Court vide the judgment and order dated 03.05.2024
granted leave to the respondent nos.",tensor(0.7947)
"1 and 2 (original plaintiffs) for the purpose of instituting a suit
under Section 92 of the CPC.",tensor(0.6278)
"While holding that all the elements and ingredients under Section 92
of the CPC stood fulfilled and granting leave, the learned Single Judge observed as follows:
i.",tensor(0.6376)
"First, whether it be the Interim Forensic Audit Report dated 13.08.2021 or the
various reports submitted under the Chairmanship of Justice (retd.)",tensor(0.7098)
R.V.,tensor(0.7797)
"Easwar,
there was no gainsaying that actions are required to be taken to remedy the state of
affairs of the appellant Society, particularly in relation to its financial affairs and
administrations, for which the directions of the court may be necessary.",tensor(0.8522)
ii.,tensor(0.8695)
"Secondly, heavy reliance was placed on the decision of this Court in Ashok Kumar
Gupta & Anr vs. Sitalaxmi Sahuwala Medical Trust & Ors.",tensor(0.7577)
"reported in (2020) 4 SCC
321 to grant leave under Section 92 of the CPC since the enunciation of law in the
said decision is also said to have been made in a strikingly similar factual
background.",tensor(0.5390)
"It was reiterated that it is the dominant purpose of the suit, as
discernible strictly from the allegations made in the plaint that is required to be
assessed by the court while considering whether leave must be granted to institute
the suit or not.",tensor(0.6597)
iii.,tensor(0.7256)
"Thirdly, that the respondent no.",tensor(0.5807)
1 (original plaintiff no.,tensor(0.5200)
"1) being one of the co-
founders of the appellant Society and a long-time President of its Board, along with
the respondent no.",tensor(0.4457)
2 (original plaintiff no.,tensor(0.5216)
"2) who has been associated with the
appellant Society for an extended period of time while also continuing to be a
member of its Board, would constitute ‘persons having an interest in the trust’.",tensor(0.7005)
"Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
8
 iv.",tensor(0.7959)
"Fourthly, while referring to Article 13 of the AoA as per which the society is
entitled to raise funds by way of gifts, donations, grants-in-aid or otherwise strictly
for the purpose of carrying out the aims and objectives of the society, it was opined
that the formal ‘entrustment’ of property or funds by a third-party to the appellant
Society would not be a necessary ingredient to hold that the society is a ‘constructive
trust’.",tensor(0.5657)
"If that formality were a sine-qua-non, the very distinction between a ‘trust’ and
a ‘constructive trust’ would stand obliterated.",tensor(0.3872)
"Since any grant-in-aid, donation or gift made by a third-party to the society would, by
its very nature, be intended to be used for the benefit of those in need of medical care
in furtherance of the objects of the society, it was held that this in-itself would be
sufficient to infer that all such grants-in-aid, donations gifts etc., made to the society
would become property ‘entrusted’ to it, by reason of which the society would acquire
the character of a ‘constructive trust’.",tensor(0.3912)
"v. Fifthly, after perusing the aims and objects of the appellant Society as detailed in
the MoA it was declared that the appellant Society is evidently engaged in a ‘public
purpose of charitable nature’ since they principally provide health care services to the
underprivileged sections of the society, specifically with respect to the treatment,
education and prevention of tuberculosis.",tensor(0.5448)
vi.,tensor(0.7795)
"Lastly, that the claims made in the suit also co-relate and fall within the scope of
the reliefs contemplated under Section 92 of the CPC, more particularly sub-
sections (1)(d) and (1)(h) thereof.",tensor(0.8431)
13.,tensor(0.7607)
"The relevant observations made by the learned Single Judge are reproduced
hereinbelow:
“20.",tensor(0.6391)
"Therefore, we must not lose sight of the fact, that for purposes of deciding
whether leave should be granted under section 92 CPC, it is only the allegations in
the plaint that should be looked into in the first instance; it being available to the
court to even dismiss the suit if after evidence is led it is found that the breach of the
trust alleged was not made-out.",tensor(0.7804)
21.,tensor(0.9001)
"To reiterate it is the dominant purpose of the suit, as discernible only from the
allegations in the plaint, that is required to be assessed by the court at the stage of
considering whether leave should be granted under section 92 CPC to institute a
suit.”
22.",tensor(0.6853)
"In the present case, the following assertions are found in the plaint:
22.1.",tensor(0.6022)
Plaintiff No.1 is one of the co-founders of defendant No.,tensor(0.5154)
"1 society and has been a
long time President of its Board, Plaintiff No.2.",tensor(0.3719)
"has been associated with defendant
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
9
 No.1 society for a long time and continues to be a member of the Board of the society,
even if she is plaintiff No.1's mother.",tensor(0.5960)
"In fact these assertions appear to reflect the
admitted position.",tensor(0.8140)
22.2.,tensor(0.9019)
"Plaintiff No.1 has played a pivotal role in the functioning of the society ever
since it was established.",tensor(0.9022)
"-xxx-
“22.4.",tensor(0.8183)
"Furthermore, a perusal of the Articles of Association (‘AOA’) of defendant No.1 society
inter-alia shows that the management of the society is entrusted to an Executive Committee, which
is entitled to raise funds for the society by way of gifts, donations, grants-in-aid or otherwise, which
funds are to be used to carry-out the aims and objectives of the society.",tensor(0.5076)
"Attention in this behalf may
be drawn to Article 13 of the AoA of the society, which reads as follows […] In the opinion of this
court, the formal ‘entrustment’ of property or funds by a third-party to defendant No.1 society is not
a necessary ingredient to hold that the society is a constructive trust’.",tensor(0.2767)
"If that formality were a
sine-qua-non, the very distinction between a ‘trust’ and a ‘constructive trust’ would get obliterated.",tensor(0.4756)
"This court is of the view, that any grant-in-aid, donation or gift made by a third-party to the society
is, by its very nature, meant and intended to be used for the benefit of those in need of medical care
in furtherance of the objects and purpose of the society.",tensor(0.5025)
"This, in itself, is sufficient to infer that all
such grants-in-aid, donations, gifts etc.",tensor(0.5199)
"made to the society are property entrusted to it, by reason of
which the society acquires the character of a 'constructive trust'.” 22.5.",tensor(0.6567)
"Also, defendant No.1 is
evidently engaged in a public purpose of charitable nature, since it provides medical-aid and relief to
patients of tuberculosis who otherwise cannot afford treatment, thereby fulfilling the other criterion
of section 92 CPC.",tensor(0.7377)
22.6.,tensor(0.7931)
"In this manner, defendant No.1 society fulfils all conditions necessary to
invoke section 92 CPC, as enunciated by the Supreme Court in Ashok Kumar Gupta (supra) and the
elements required to qualify as a 'constructive trust' as laid down by a Co-ordinate Bench of this
court in The Young Mens Christian Association of Ernakulam (supra) cited above.",tensor(0.7579)
23.,tensor(0.8327)
"In addition, the IFAR as well as the multiple audit reports submitted in relation to the
administration and financial affairs of the society, including under the chairmanship of Justice
Easwar, clearly disclose that the manner in which the affairs of the society are being run, requires
closer consideration and scrutiny.",tensor(0.9224)
24.,tensor(0.9121)
"Furthermore, the claims made in the suit also co-relate and fall within the scope of the reliefs
contemplated in section 92 CPC, especially section 92(d) and (h) thereof;
25.",tensor(0.5438)
"In the above view of the matter, this court is persuaded to hold that all elements and ingredients
of section 92 CPC are satisfied; and that therefore, the plaintiffs are entitled to grant of leave to
institute the present suit under section 92, CPC.",tensor(0.5281)
26.,tensor(0.9393)
"To obviate any ambiguity, it may be clarified that the grant of leave to the plaintiffs to institute
the suit would not prevent the court from dismissing die suit subsequently, if the allegations
contained in the plaint are found not to be substantiated.",tensor(0.9407)
"Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
10
 27.",tensor(0.8391)
The application is accordingly allowed.” (Emphasis supplied) B.,tensor(0.7768)
"THE IMPUGNED JUDGMENT
14.",tensor(0.5845)
"Aggrieved by the aforesaid judgment and order of the learned Single Judge dated 03.05.2024,
the appellant Society preferred an appeal being FAO (OS) No.",tensor(0.4447)
"114 of 2024 before the Division Bench
of the High Court.",tensor(0.4896)
"The Division Bench while dismissing the appeal, observed as follows:
i.",tensor(0.5614)
"First, reliance was, again, placed on the decision of this Court in Ashok Kumar
Gupta (supra) in order to delineate the conditions that are required to be satisfied
under Section 92 of the CPC.",tensor(0.6843)
ii.,tensor(0.8273)
"Secondly, the Division Bench echoed the observations made by the Single Judge in
as much as observing that the appellant Society is admittedly of a charitable nature as
evident from its MoA.",tensor(0.8651)
iii.,tensor(0.7811)
"Thirdly, reliance was placed on the relevant provisions of the MoA which
stipulated that all the incomes, earnings, movable or immovable properties of the
society shall be solely applied towards furthering the objectives of the society and no
profits shall be paid, either directly or indirectly, to the members of the Board or any
person claiming through or under them.",tensor(0.5301)
"Furthermore, while referring to Article 11.2.1
of the AoA which specifically stated that all the properties, movable, immovable and
other kinds of assets shall stand vested in the Executive Committee of the appellant
Society, the Division Bench expressed its agreement with the views of the Single
Judge that all donations, gifts etc.",tensor(0.3632)
"made to the appellant Society are property
‘entrusted’ to it, due to which the society would acquire the character of a
‘constructive trust’.",tensor(0.5615)
iv.,tensor(0.7332)
"Fourthly, referring to the decision of this Court in Shiromani Gurudwara
Prabandhak Committee vs. Som Nath Dass reported in 2000 (4) SCC 146, it opined
that the donations, gifts, etc., being received by the appellant Society and being
vested in the Committee from various institutions would constitute an ‘endowment’
for public purpose.",tensor(0.5548)
"v. Lastly, although the Bench acknowledged the contention of the counsel for the
appellant Society that prayer (b) of the plaint agitates a personal/private grievance,
yet it took the view that the reliefs sought in prayers (d) and (e) of the plaint fall
within those reliefs contemplated under sub-section (1) of Section 92 of the CPC.",tensor(0.4410)
"The
relevant observations of the Division Bench are reproduced hereinbelow:
“12.",tensor(0.6165)
"Admittedly, the Appellant-society is of a charitable nature as it has been formed
primarily for serving the under-privileged sections of the society, in particular,
patients suffering from tuberculosis.",tensor(0.7801)
"[…]
13.",tensor(0.8378)
"The Memorandum of Association further stipulates that all the incomes, earnings,
movable or immovable properties of the society shall be solely utilized and applied
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
11
 towards the promotion of its aims and objectives only as set forth in the
Memorandum of Association and no profits thereof shall be paid or transferred
directly or indirectly by way of dividends, bonus or profits in any manner whatsoever
to the present or past members or to any person claiming through any one or more of
the present or the past members.",tensor(0.5106)
"The Memorandum of Association also states that no
member of the society shall have any profits, whatsoever by virtue of his
membership, the names, addresses, occupations and signatures of the present
members of the Executive Committee to whom the management and affairs of the
society are entrusted, as required under Section 2 of the Societies Registration Act,
1860 (Punjab Amendment Act of 1957).",tensor(0.5033)
14.,tensor(0.7638)
"Article 11.2.1 of the Articles of Association specifically stipulates that all the
properties, movable, immovable and other kinds of assets shall stand vested in the
Committee.",tensor(0.7034)
15.,tensor(0.7691)
"Keeping in view the aforesaid as well as the fact that the Appellant has been set-up
with the primary objective of providing medical relief to patients, who otherwise
cannot afford such treatment, this Court is in agreement with the view of the learned
Single Judge that all the donations, gifts etc.",tensor(0.6262)
"made to the Appellant-society are
property entrusted to it, by reason of which the society acquires the character of a
‘constructive trust’.",tensor(0.5957)
16.,tensor(0.7838)
