Sentence,Score
"AIMS AND OBJECTS MAIN OBJECTIVES OF THE SOCIETY ARE GIVEN
BELOW.",0.21241063
"4.1.1 To develop, establish, maintain and provide health and all other related services,
and to help, aid, assist, arrange, co-
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
2
 ordinate, organize maintain and carry on activities connected with one of health quality of life,
nursing facilities, socio-economic aspects, general welfare and problems of the society with special
emphasis on provision of services for the underprivileged sections of the society as per Govt.",0.13647448
rule.,0.4784686
"4.1.2 To develop, establish, make and provide microcredit microfinance and all other related
services, and to help, aid, assist, arrange, contribute, co-ordinate, organize maintain and carry on
activities connected with concerns of microcredit and micro finance.",0.23682538
"Socio-economic aspects,
general welfare and problems of the society with special emphasis on provision of services for the
underprivileged sections of the society as per Govt.",0.21209228
rule.,0.4784686
"4.1.3 To establish hospitals, medical schools and colleges, nursing schools and colleges,
dispensaries, laboratories research institutions and other educational institutions as per Govt.",0.25237358
rule.,0.4784686
"4.1.4 To purchase or otherwise deal in medicines and equipment required for maintenance of health,
hygiene and microcredit/ microfinance.",0.22089082
"4.1.5 To aid, promote establish, maintain, run and encourage alternative systems of medicine and
establish training and research centers for this purpose as Govt, rule.",0.12632643
"4.1.6 To aid, promote, establish, maintain, run and encourage microcredit/microfinance as per
Govt.",0.21604632
rule.,0.4784686
"4.1.7 To open centers and institutes for diagnostic, curative, therapeutic and research of medical
sciences as per Govt.",0.19675733
"rule, 4.1.8 To provide free medicines to the poor.”
4.",0.16535623
"The MoA of the appellant Society also stipulates that all the incomes and earnings of the society,
whether movable or immovable, shall solely be utilised to further the aims and objectives of the
appellant Society.",0.16215028
"Furthermore, it is also stated that the members of the appellant society would not
be entitled to any profits by virtue of their membership.",0.09346246
"The relevant portion of the MoA is extracted
hereinbelow:
“All the incomes, earnings, movable or immovable properties of the society shall be
solely utilized and applied towards the promotion of its aims and objectives only as
set forth in the memorandum of association and no profits thereof shall be paid or
transferred directly or indirectly by way of dividends, bonus, profits or in any manner
whatsoever to the present or past members or to any person claiming through any
one or more of the present or the past members, no member of the society shall have
any profits, whatsoever by virtue of his membership, the names, addresses,
occupations and signatures of the present members of the executive committee το
whom the management and affairs of the society are entrusted as required under
section 2 of the societies registration act, 1860 (punjab amendment act of 1957) as
extended and applicable to the national capital territory & all state of india.”
(Emphasis supplied)
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
3
 5..",0.10033699
"A few other relevant clauses from the Articles of Association (hereinafter, the “AoA”) of the
appellant Society are reproduced hereinbelow:
“6.",0.16774762
"DUTIES & OBLIGATIONS OF MEMBERS All and every member
6.1 Shall attend the Board of meetings regularly;
6.2 Shall give necessary information to the Society, pertaining to matters necessary to be known by
the Society;
6.3 Shall not indulge in activities, which may prove prejudicial to the Aims and Objects of the
Society and/or to the Rules and Regulations of the Society;
6.4 Shall maintain sanctity of the secrets and confidentiality of police matters of the Society and its
members;
-xxx-
11.2 POWERS & DUTIES OF THE EXECUTIVE COMMITTEE 11.2.1 All the properties, movable,
immovable, and other kind of assets shall stand vested in the Committee.",0.14133509
"11.2.2 The business and the affairs of the Society shall be managed and administered by the
Committee.",0.15552346
"11.2.3 Without prejudice to the generality of the foregoing provisions, the Committee shall have the
following powers.",0.31115457
"11.2.3.1 To acquire by gift, purchase, exchange, lease or in any other manner land,
building, or other immovable, property together with all rights pertaining thereto.",0.17064464
11.2.3.2 To manage the properties of the Society.,0.13867345
"11.2.3.3 To accept the management of any trust, fund, or endowment or any other … in which the
Society is interested.",0.11397259
"11.2.3.4 To raise funds for the Society by way of gifts, donations, grants-in-aid
or otherwise within India or outside, as provided in the bye-laws.",0.1816756
"11.2.3.5 To raise loans, stand guarantee for loans and do all acts necessary to raising the loans to
further the objects of the Society.",0.14531188
"11.2.3.6 To receive monies, securities, instruments, investments,
or any other assets for and on behalf of the Society.",0.15739985
11.2.3.7 To enter into agreements contracts for and on behalf of the Society.,0.115991525
"11.2.3.8 To manage, serve, transfer or otherwise dispose-off any property, movable or immovable of
the Society.",0.15920718
"11.2.3.9 To prescribe the powers, duties and functions of the office-bearers.",0.22739324
"Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
4
 11.2.3.10 To exercise control over the President and the General secretary of the Society including
the powers of dismissal.",0.09077117
11.2.3.11 To appoint the Secretary of the Society.,0.13408339
11.2.3.12 To elect new members to the Committee when casual vacancies occur.,0.21892636
11.2.3.13 To appoint the Secretary of the society.,0.14625491
"-xxx-
13.",0.47368348
"SOURCES OF INCOME & UTILIAZATION OF FUNDS Funds will be raised by way of
grants-in-aid, donations, gifts, subscriptions fees, and income from investments, loans and other
means available to the Society under the Act.",0.21311155
"Funds will be used to carry out the Aims and
Objectives of the Society.”
6.",0.1362389
"Dr. Shelly Batra (hereinafter, the “respondent no.",0.15661965
1/original plaintiff no.,0.28745508
"1”) is a medical health
professional and co-founder of the appellant Society.",0.16424629
"Vide communication dated 19.06.2020, Mr.
Sandeep Ahuja (hereinafter, the “respondent no.",0.17569457
3/original defendant no.,0.21263997
"2”) who is also the
co-founder and CEO of the appellant Society terminated the services/employment of the respondent
no.",0.13433066
1.,0.42350876
The communication alleged that the termination of the respondent no.,0.21173991
"1 was on account of
various “omissions including misrepresentation” of her daughter’s previous employment,
fabrication of documents, misappropriation of the assets and funds of the NGO as well as gross
misbehaviour with the staff and the employees.",0.17971788
"Subsequently, on 23.06.2020, the Board of the
appellant Society is said to have passed a resolution terminating the respondent no.",0.09135519
"1 from the
post/office of President of the appellant Society.",0.17357534
"Soon thereafter, on 27.06.2020, the Board of the
appellant Society is also said to have removed the respondent no.",0.092536576
"1 from her capacity as a member of
their Board.",0.2688821
7.,0.4099683
"Mrs. Usha Gupta, (hereinafter, the “Respondent No.",0.19296531
2/original plaintiff no.,0.29713854
"2”), who is the mother
of the respondent no.",0.23897807
"1, is one of the current members of the Board of the appellant Society.",0.17430224
Immediately after the removal of the respondent no.,0.21536529
"1 as a Board member, both the respondent no.",0.14592977
1 and respondent no.,0.23618795
"2 (collectively also referred to as the “original plaintiffs”) instituted an Original
Suit bearing CS (OS) No.",0.14706765
"153 of 2020 on 28.06.2020 under Section 92 of the CPC before a learned
Single Judge of the High Court for declaration, permanent & prohibitory injunction and, rendition
of accounts.",0.13022457
"They alleged misconduct and breach of several of the society’s by-laws by the
respondent no.3 and one Ms. Suniti Ahuja (hereinafter, the “respondent no.",0.17445612
"4/original defendant
no.",0.1997281
3”).,0.23037244
The original defendant nos.,0.18101092
"4 to 8 respectively are current Board members and the original
defendant no.",0.13719526
9 is a former Board member of the appellant Society.,0.17965092
8.,0.38757437
"To further elaborate in detail, the respondent nos.",0.17034978
"1 and 2 respectively (original plaintiffs) alleged
the following in the suit instituted by them:
i.",0.18699738
That the respondent nos.,0.3325809
"3 and 4 respectively, were indulging in gross financial
impropriety, misconduct and siphoning off funds/donations which were received by
the appellant Society into various shell companies/entities controlled by them and
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
5
 their friends/relatives.",0.12193414
"Such funds were utilised and misappropriated for personal
gains.",0.23198116
"Furthermore, that the funds received by the society have been utilised for
activities outside India, which is impermissible, since the requisite permission was
not taken from the appropriate governmental authorities and yet, tax benefits were
illegally availed for the same.",0.115580894
ii.,0.41226038
"That there has been a severe mismanagement in the administration of the
appellant Society by the respondent nos.",0.118959576
3 and 4 respectively.,0.28977528
"They have avoided
making accounting provisions for statutory disbursements in the form of provident
fund or gratuity to their employees and are also engaging in cross-
payment of salaries to employees through their sister concerns with a view to avoid
the grant of statutorily mandated employee benefits.",0.10528144
iii.,0.39732054
That the respondent no.,0.4448517
"3 has misrepresented information and thereby misled the
donors of the appellant Society with an intent to defraud them by claiming that the
appellant society had provided COVID-19 related services to more than 12,600
families and 10,000 migrants, however, the same remains entirely uncorroborated
and unsubstantiated.",0.10001034
iv.,0.39282477
That the respondent nos.,0.3325809
"3 and 4 respectively, used force and coerced several
employees in order to illegally take away the property of the appellant Society.",0.11644551
This includes pressurizing the original defendant no.,0.13718298
"8 to hand over the ATM card,
passbook etc.",0.21614006
"of the account in which his salary is remitted and utilising those funds
for personal needs.",0.18803518
"Furthermore, it was alleged that they have also demanded
compulsory kickbacks from the employees engaged by the appellant Society by
threatening, coercing and blackmailing them with immediate termination of
employment, with a view to siphon employee payments.",0.17493509
v. That respondent no.,0.23189683
"3 has also regularly misbehaved by issuing threats of personal
injury and also indulged in discriminatory behaviour against the employees of the
appellant society on the basis of race, caste, religion and sex.",0.12867936
vi.,0.4235683
"That, around February 2020, the respondent no.",0.2103854
"1 approached the respondent
nos.",0.19165473
"3 and 4 respectively to resolve the aforesaid issues, amongst others.",0.2869776
"In
retaliation, she was harassed and threatened to exit from her position at the appellant
Society.",0.2166236
9.,0.39405426
"The reliefs prayed for in the aforesaid suit are reproduced hereinbelow:
“PRAYER
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
6
 35.",0.124720246
"In light of the above facts and circumstances of the case, Plaintiffs most humbly
pray that this Hon’ble Court may grant the following reliefs in its favour:
(a) Pass a decree of declaration holding that all the decisions taken by the Board of
Defendant No.1 and/or any Board member or employee or personnel w.e.f.",0.10757571
"01-06-2020 onwards are illegal, wrong and void, in the present facts and
circumstances, and therefore, set-aside; and/or
(b) Pass a decree of declaration holding that the termination of Dr.Shelly Batra
(Plaintiff No.",0.06808514
"1) from the post/office of President vide Board Resolution dated
23-06-2020 and ouster from the Board of Defendant No.",0.0915897
"I vide Board Resolution
dated 27-06-2020 is illegal, wrong and void in the present facts and circumstances,
and restoring her office/post in the affairs of Defendant No.",0.15682113
"1;
and/or
c) Pass a decree for permanent & prohibitory injunction against the Defendant Nos.2 and 3 by
removing them from the Board of Defendant No.1 on account of the illegalities & breach of the bye-
laws of Defendant No.1, and restraining them from being involved in the activities/affairs of the
Board of Defendant No.1 either as member or employee or contractor or advisor or anyway
whatsoever;
(d) Pass a decree for rendition of accounts of profits/monies siphoned, misappropriated, illegally
earned by Defendant Nos.2- 3 for their personal use/benefit from the accounts/funds of Defendant
No.1, and further a decree for recovery of the amount be found to be due, siphoned,
misappropriated, etc.",0.14742273
by the Defendant Nos.,0.33697498
"2-3 along with interest @18% in favour of Defendant
No.",0.14162548
1; and/or I Pass a decree or order regarding settling the scheme of the Defendant No.,0.1140854
"1 by
amending its bye-laws in such manner that no one family gets complete control of the affairs of
Defendant No.",0.09374299
"1:
(f) Costs:
(g) Any other relief (s) which this Hon’ble Court deems, fit, just and proper may also
be awarded in favour of the Plaintiffs, in the interest of justice.”
10.",0.15746178
"In pursuance of the aforesaid, the respondent nos.",0.18827878
"1 and 2 respectively, filed an
application being I.A.",0.14606993
No.,0.5367055
5009 of 2020 in CS (OS) No.,0.14924349
"153 of 2020 seeking leave to
institute the civil suit against the appellant Society along with the respondent nos.",0.096512266
"3 to 10 (collectively referred to as the “original defendants”) before the learned Single Judge of the
High Court.",0.1201748
"In the said application, it was stated that the appellant Society is a public charitable
institution - an NGO engaged in the healthcare industry.",0.13601376
"The main objectives of the society as
evidenced by its by-laws is public welfare and therefore, it would fall under the ambit of “public
charities” mentioned under Section 92 of the CPC.",0.08734895
The respondent nos.,0.4647999
"1 and 2 respectively
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
7
 (original plaintiffs) have been involved in the functioning of the appellant Society since its inception
and have a justified and bona fide interest in the society, Therefore, they are “interested persons” as
required by Section 92.",0.059685197
"Furthermore, since numerous breaches have occurred in the conduct of
business/affairs of the appellant Society, the direction of the court would be of utmost necessity for
its administration.",0.106010385
11.,0.4182793
"After taking seisin of the matter, vide order dated 05.08.2020, the learned Single Judge of the
High Court appointed Justice (retd.)",0.144071
R.V.,0.3842811
"Easwar as the Chairperson of the Board of the appellant
Society with the consent of both the parties.",0.14795876
"Directions were issued to the Chairperson to submit a
report and conduct a financial audit in order to ascertain, amongst others, whether there has been a
defalcation or siphoning off of funds that the donors have contributed towards the appellant Society
and to make suggestions as to how the working of the society can be improved.",0.12480401
"The Chairperson
submitted three reports dated 26.08.2020, 03.10.2020 and 09.12.2020 respectively.",0.2521612
"On,
13.08.2021, an Interim Forensic Audit Report and on 20.09.2021, a Final Forensic Audit Report
respectively, are also said to have been submitted by the auditors appointed for the said purpose.",0.1550724
12.,0.42834318
"The learned Single Judge of the High Court vide the judgment and order dated 03.05.2024
granted leave to the respondent nos.",0.13400653
"1 and 2 (original plaintiffs) for the purpose of instituting a suit
under Section 92 of the CPC.",0.10546053
"While holding that all the elements and ingredients under Section 92
of the CPC stood fulfilled and granting leave, the learned Single Judge observed as follows:
i.",0.045483287
"First, whether it be the Interim Forensic Audit Report dated 13.08.2021 or the
various reports submitted under the Chairmanship of Justice (retd.)",0.07931275
R.V.,0.3842811
"Easwar,
there was no gainsaying that actions are required to be taken to remedy the state of
affairs of the appellant Society, particularly in relation to its financial affairs and
administrations, for which the directions of the court may be necessary.",0.07171304
ii.,0.41226038
"Secondly, heavy reliance was placed on the decision of this Court in Ashok Kumar
Gupta & Anr vs. Sitalaxmi Sahuwala Medical Trust & Ors.",0.18169399
"reported in (2020) 4 SCC
321 to grant leave under Section 92 of the CPC since the enunciation of law in the
said decision is also said to have been made in a strikingly similar factual
background.",0.07387646
"It was reiterated that it is the dominant purpose of the suit, as
discernible strictly from the allegations made in the plaint that is required to be
assessed by the court while considering whether leave must be granted to institute
the suit or not.",0.07311551
iii.,0.39732054
"Thirdly, that the respondent no.",0.26758903
1 (original plaintiff no.,0.16758971
"1) being one of the co-
founders of the appellant Society and a long-time President of its Board, along with
the respondent no.",0.11506919
2 (original plaintiff no.,0.17625058
"2) who has been associated with the
appellant Society for an extended period of time while also continuing to be a
member of its Board, would constitute ‘persons having an interest in the trust’.",0.14407595
"Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
8
 iv.",0.17795709
"Fourthly, while referring to Article 13 of the AoA as per which the society is
entitled to raise funds by way of gifts, donations, grants-in-aid or otherwise strictly
for the purpose of carrying out the aims and objectives of the society, it was opined
that the formal ‘entrustment’ of property or funds by a third-party to the appellant
Society would not be a necessary ingredient to hold that the society is a ‘constructive
trust’.",0.09956372
"If that formality were a sine-qua-non, the very distinction between a ‘trust’ and
a ‘constructive trust’ would stand obliterated.",0.18597285
"Since any grant-in-aid, donation or gift made by a third-party to the society would, by
its very nature, be intended to be used for the benefit of those in need of medical care
in furtherance of the objects of the society, it was held that this in-itself would be
sufficient to infer that all such grants-in-aid, donations gifts etc., made to the society
would become property ‘entrusted’ to it, by reason of which the society would acquire
the character of a ‘constructive trust’.",0.15159766
"v. Fifthly, after perusing the aims and objects of the appellant Society as detailed in
the MoA it was declared that the appellant Society is evidently engaged in a ‘public
purpose of charitable nature’ since they principally provide health care services to the
underprivileged sections of the society, specifically with respect to the treatment,
education and prevention of tuberculosis.",0.10322157
vi.,0.4235683
"Lastly, that the claims made in the suit also co-relate and fall within the scope of
the reliefs contemplated under Section 92 of the CPC, more particularly sub-
sections (1)(d) and (1)(h) thereof.",0.14250594
13.,0.43177736
"The relevant observations made by the learned Single Judge are reproduced
hereinbelow:
“20.",0.12464709
"Therefore, we must not lose sight of the fact, that for purposes of deciding
whether leave should be granted under section 92 CPC, it is only the allegations in
the plaint that should be looked into in the first instance; it being available to the
court to even dismiss the suit if after evidence is led it is found that the breach of the
trust alleged was not made-out.",0.07587038
21.,0.43494758
"To reiterate it is the dominant purpose of the suit, as discernible only from the
allegations in the plaint, that is required to be assessed by the court at the stage of
considering whether leave should be granted under section 92 CPC to institute a
suit.”
22.",0.0598907
"In the present case, the following assertions are found in the plaint:
22.1.",0.20283733
Plaintiff No.1 is one of the co-founders of defendant No.,0.19906174
"1 society and has been a
long time President of its Board, Plaintiff No.2.",0.08768161
"has been associated with defendant
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
9
 No.1 society for a long time and continues to be a member of the Board of the society,
even if she is plaintiff No.1's mother.",0.10977147
"In fact these assertions appear to reflect the
admitted position.",0.1321402
22.2.,0.24523914
"Plaintiff No.1 has played a pivotal role in the functioning of the society ever
since it was established.",0.10309066
"-xxx-
“22.4.",0.21475087
"Furthermore, a perusal of the Articles of Association (‘AOA’) of defendant No.1 society
inter-alia shows that the management of the society is entrusted to an Executive Committee, which
is entitled to raise funds for the society by way of gifts, donations, grants-in-aid or otherwise, which
funds are to be used to carry-out the aims and objectives of the society.",0.111872666
"Attention in this behalf may
be drawn to Article 13 of the AoA of the society, which reads as follows […] In the opinion of this
court, the formal ‘entrustment’ of property or funds by a third-party to defendant No.1 society is not
a necessary ingredient to hold that the society is a constructive trust’.",0.0653178
"If that formality were a
sine-qua-non, the very distinction between a ‘trust’ and a ‘constructive trust’ would get obliterated.",0.19923541
"This court is of the view, that any grant-in-aid, donation or gift made by a third-party to the society
is, by its very nature, meant and intended to be used for the benefit of those in need of medical care
in furtherance of the objects and purpose of the society.",0.12953758
"This, in itself, is sufficient to infer that all
such grants-in-aid, donations, gifts etc.",0.1717663
"made to the society are property entrusted to it, by reason of
which the society acquires the character of a 'constructive trust'.” 22.5.",0.07385097
"Also, defendant No.1 is
evidently engaged in a public purpose of charitable nature, since it provides medical-aid and relief to
patients of tuberculosis who otherwise cannot afford treatment, thereby fulfilling the other criterion
of section 92 CPC.",0.081044324
22.6.,0.2549357
"In this manner, defendant No.1 society fulfils all conditions necessary to
invoke section 92 CPC, as enunciated by the Supreme Court in Ashok Kumar Gupta (supra) and the
elements required to qualify as a 'constructive trust' as laid down by a Co-ordinate Bench of this
court in The Young Mens Christian Association of Ernakulam (supra) cited above.",0.048880517
23.,0.42910242
"In addition, the IFAR as well as the multiple audit reports submitted in relation to the
administration and financial affairs of the society, including under the chairmanship of Justice
Easwar, clearly disclose that the manner in which the affairs of the society are being run, requires
closer consideration and scrutiny.",0.12535493
24.,0.39199683
"Furthermore, the claims made in the suit also co-relate and fall within the scope of the reliefs
contemplated in section 92 CPC, especially section 92(d) and (h) thereof;
25.",0.10784372
"In the above view of the matter, this court is persuaded to hold that all elements and ingredients
of section 92 CPC are satisfied; and that therefore, the plaintiffs are entitled to grant of leave to
institute the present suit under section 92, CPC.",0.06902131
26.,0.45284924
"To obviate any ambiguity, it may be clarified that the grant of leave to the plaintiffs to institute
the suit would not prevent the court from dismissing die suit subsequently, if the allegations
contained in the plaint are found not to be substantiated.",0.09002207
"Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
10
 27.",0.18013097
The application is accordingly allowed.” (Emphasis supplied) B.,0.15225631
"THE IMPUGNED JUDGMENT
14.",0.43107754
"Aggrieved by the aforesaid judgment and order of the learned Single Judge dated 03.05.2024,
the appellant Society preferred an appeal being FAO (OS) No.",0.107915305
"114 of 2024 before the Division Bench
of the High Court.",0.2070809
"The Division Bench while dismissing the appeal, observed as follows:
i.",0.14237908
"First, reliance was, again, placed on the decision of this Court in Ashok Kumar
Gupta (supra) in order to delineate the conditions that are required to be satisfied
under Section 92 of the CPC.",0.08436232
ii.,0.41226038
"Secondly, the Division Bench echoed the observations made by the Single Judge in
as much as observing that the appellant Society is admittedly of a charitable nature as
evident from its MoA.",0.06261535
iii.,0.39732054
"Thirdly, reliance was placed on the relevant provisions of the MoA which
stipulated that all the incomes, earnings, movable or immovable properties of the
society shall be solely applied towards furthering the objectives of the society and no
profits shall be paid, either directly or indirectly, to the members of the Board or any
person claiming through or under them.",0.10312903
"Furthermore, while referring to Article 11.2.1
of the AoA which specifically stated that all the properties, movable, immovable and
other kinds of assets shall stand vested in the Executive Committee of the appellant
Society, the Division Bench expressed its agreement with the views of the Single
Judge that all donations, gifts etc.",0.057223253
"made to the appellant Society are property
‘entrusted’ to it, due to which the society would acquire the character of a
‘constructive trust’.",0.11212393
iv.,0.39282477
"Fourthly, referring to the decision of this Court in Shiromani Gurudwara
Prabandhak Committee vs. Som Nath Dass reported in 2000 (4) SCC 146, it opined
that the donations, gifts, etc., being received by the appellant Society and being
vested in the Committee from various institutions would constitute an ‘endowment’
for public purpose.",0.07970941
"v. Lastly, although the Bench acknowledged the contention of the counsel for the
appellant Society that prayer (b) of the plaint agitates a personal/private grievance,
yet it took the view that the reliefs sought in prayers (d) and (e) of the plaint fall
within those reliefs contemplated under sub-section (1) of Section 92 of the CPC.",0.13713722
"The
relevant observations of the Division Bench are reproduced hereinbelow:
“12.",0.1452798
"Admittedly, the Appellant-society is of a charitable nature as it has been formed
primarily for serving the under-privileged sections of the society, in particular,
patients suffering from tuberculosis.",0.112705134
"[…]
13.",0.38460103
"The Memorandum of Association further stipulates that all the incomes, earnings,
movable or immovable properties of the society shall be solely utilized and applied
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
11
 towards the promotion of its aims and objectives only as set forth in the
Memorandum of Association and no profits thereof shall be paid or transferred
directly or indirectly by way of dividends, bonus or profits in any manner whatsoever
to the present or past members or to any person claiming through any one or more of
the present or the past members.",0.10912259
"The Memorandum of Association also states that no
member of the society shall have any profits, whatsoever by virtue of his
membership, the names, addresses, occupations and signatures of the present
members of the Executive Committee to whom the management and affairs of the
society are entrusted, as required under Section 2 of the Societies Registration Act,
1860 (Punjab Amendment Act of 1957).",0.073633105
14.,0.39561382
"Article 11.2.1 of the Articles of Association specifically stipulates that all the
properties, movable, immovable and other kinds of assets shall stand vested in the
Committee.",0.120245144
15.,0.40426585
"Keeping in view the aforesaid as well as the fact that the Appellant has been set-up
with the primary objective of providing medical relief to patients, who otherwise
cannot afford such treatment, this Court is in agreement with the view of the learned
Single Judge that all the donations, gifts etc.",0.06750694
"made to the Appellant-society are
property entrusted to it, by reason of which the society acquires the character of a
‘constructive trust’.",0.11415399
16.,0.41332117
"In the above context, it would also be necessary to refer to the judgment of
Supreme Court in Shiromani Gurudwara Prabandhak Committee vs. Som Nath Dass
2000 (4) SCC 146, wherein it has been held that an “endowment” is, when the donor
parts with his property for it to be used for a public purpose and its entrustment is to
a person or group of persons for carrying out the objective of such entrustment.",0.08022024
"It
was held that once an endowment is made, it is final and irrevocable and it is onerous
duty of the persons entrusted with such endowment to carry out the objectives of this
entrustment.",0.11391926
"It was further held once an endowment, it never reverts even to the
donor.",0.174865
"The Supreme Court has also considered that endowment” means property or
pecuniary means bestowed as a permanent fund, as endowment of a college, hospital
or library, and is understood in common parlance as a fund yielding income for
support of an institution.",0.13535373
"Having regard to the aforesaid, it is clear that donations,
gifts etc.",0.21324898
"which were being received by the Appellant, and being vested in the
committee, from various institutions would be endowment for public purpose.”
17.",0.072646245
"Though the learned senior counsel for the Appellant is correct in contending that
prayer (b) of the plaint agitates a personal/private grievance yet this Court is of the
view that the reliefs sought in prayers (d) and (e) of the plaint fall within the reliefs
mentioned in sub section (1) of Section 92 CPC.",0.11694181
18.,0.39724672
"Consequently, this Court is of the view that the impugned order calls for no
interference.",0.16776866
"Accordingly, the present appeal along with the application is
Operation Asha vs Shelly Batra on 5 August, 2025
Indian Kanoon - http://indiankanoon.org/doc/103180344/
12
 dismissed.” (Emphasis supplied) C. SUBMISSIONS OF THE PARTIES i. Submissions
on behalf of the Appellant
15.",0.09725379
"Mr. Dama Seshadri Naidu, the learned Senior Counsel appearing for the appellant
Society submitted that the appellant Society is a ‘registered society’ under the
Societies Registration Act, 1960 and is not a ‘Trust’ for the purposes of Section 92 of
the CPC.",0.14623103
"It was argued that it is a settled law that the governing body members of the
society shall only become ‘trustees’ if a trust is created for the purpose of managing
the assets of the society.",0.09462545
"The same not being the case in the present scenario, the suit
cannot be held to be maintainable.",0.1413642
